Job Title,pjdesc
Flutter Developer,"we are looking for hire experts flutter developer. so you are eligible this post then apply your resume. job types: full-time, part-time salary: 20,000.00 - 40,000.00 per month benefits: flexible schedule food allowance schedule: day shift supplemental pay: joining bonus overtime pay experience: total work: 1 year (preferred) housing rent subsidy: yes industry: software development work remotely: temporarily due to covid-19"
Django Developer,python/django (developer/lead) - job code(pdj - 04) strong python experience in api development (rest/rpc). experience working with api frameworks (django/flask). experience evaluating and improving the efficiency of programs in a linux environment. ability to effectively handle multiple tasks with a high level of accuracy and attention to detail. good verbal and written communication skills. working knowledge of sql. json experience preferred. good knowledge in automated unit testing using pyunit.
Machine Learning,"data scientist (contractor) bangalore, in responsibilities we are looking for a capable data scientist to join the analytics team, reporting locally in india bangalore. this persons responsibilities include research, design and development of machine learning and deep learning algorithms to tackle a variety of fraud oriented challenges. the data scientist will work closely with software engineers and program managers to deliver end-to-end products, including: data collection in big scale and analysis, exploring different algorithmic approaches, model development, assessment and validation all the way through production. qualifications at least 3 years of hands-on development of complex machine learning models using modern frameworks and tools, ideally python based. solid understanding of statistics and applied mathematics creative thinker with a proven ability to tackle open problems and apply non-trivial solutions. experience in software development using python, java or a similar language. any graduate or m.sc. in computer science, mathematics or equivalent, preferably in machine learning ability to write clean and concise code quick learner, independent, methodical, and detail oriented. team player, positive attitude, collaborative, good communication skills. dedicated, makes things happen. flexible, capable of making decisions in an ambiguous and changing environment. advantages: prior experience as a software developer or data engineer advantage experience with big data advantage experience with spark big advantage experience with deep learning frameworks (pytorch, tensorflow, keras) advantage. experience in the telecommunication domain and/or fraud prevention - advantage"
iOS Developer,"job description: strong framework outside of ios is always a plus ios experience and generalist engineers with backgrounds in related technologies is a plus a disciplined approach to development, documentation and file structure strong visual design sense and excellent taste a constant desire to improve, learn more and take things higher an excellent understanding of networking, mobile network issues, concurrency and threading experience working with internationalized apps responsibilities design and build advanced applications for the ios platform. collaborate with cross-functional teams to define, design, and ship new features.. work on bug fixing and improving application performance. continuously discover, evaluate, and implement new technologies to maximize development efficiency. have published one or more ios apps in the app store. a deep familiarity with objective-c and cocoa touch. experience working with ios frameworks such as core data, core animation, core graphics and core text. experience with third-party libraries and apis. working knowledge of the general mobile landscape, architectures, trends, and emerging technologies. solid understanding of the full mobile development life cycle. responsible for working on different layers of the ios apps. help architect and maintain our set of native mobile applications."
Full Stack Developer,job responsibility full stack engineer react role make impact petsmart transforming engineering team meet need rapidly changing retail environment role foundational helping build craft petsmart prowess making react j native key framework across mobile web property working across web mobile application part building amazing mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart various web mobile solution full stack engineer help build petsmart competency using react j native across mobile web property partner web engineering team strategy share component across application best practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintaining spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable delivering agile environment creates/oversees completion technical development mobile web solution work cross functional business team design develop solution based business requirement identify area improvement design implementation process tooling automated testing quality assurance mentor le experienced developer remain current latest web technology seeking integrate solution appropriate bring table 5+ year hands-on experience web development 2+ year recent experience working react strong experience various j library framework redux angular vue etc expert understanding javascript html cs restful apis http networking concept full stack web development architecture expertise experience mvc object-oriented programming concept experience implementing responsive design adaptive design demonstrated strong front-end development skill especially concerning accessibility extensibility client-side computing object-oriented design pattern object-oriented cs experience sass/less/postcss framework demonstrated passion user experience design usability familiar experienced making use open source component ability address short term tactical requirement without losing site longer range strategic direction self-motivated discipline meet deadline speed accuracy professional attitude excellent written oral communication skill excellent analytical trouble-shooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team growing faster pace ever investing heavily cutting-edge technology importantly _our people._ petsmart team department valued business partner every area company every level associate empowered come innovative idea strategic impact business take pride work behind allfor love pet click meet mike goodwin petsmart cio love home office offer outstanding amenity fun rewarding workplace including pet friendly environment bring pet work ! work-life balance family event movie night art event holiday festival top dog gym equipment fitness class massage therapist personal trainer sit & stay caf serving fresh breakfast lunch option starbucks cartproductivity finest ! lil paw learning center onsite childcare facility volunteer event petsmart charity submit resume
Java Developer,"software developer - integration* immediate opening!* a dynamic akron / cleveland area company is looking for an experienced software developer. the integration developer designs, develops, tests, maintains and enhances multiple systems serving internal users as well as our suppliers and customers. the integration developer interacts with it and other internal business partners to deliver systems that advance company strategy and improve the enterprise capability of it. candidates need to demonstrate experience in the following skillsets: * proven technical expertise in the design, development, coding, testing, and debugging of enterprise software. strong knowledge of web services (wsdl, soap, restful). experience working with relational databases. experience authoring and maintaining data access and / or database queries. familiar with standard software design patterns, methodologies, and the mvc architecture. proficient in the following technologies: c#, .net, .net core, html5, css3, mssql, mysql, reactjs. experience working with and/or administering microsoft iis experience with syspros erp package a plus but not required candidates must be able to execute the following functions: * creates and deploys code and configuration associated with support and project work across our application portfolio. assists in creating, evolving and standardizing technical processes such as source code management, continuous integration, etc. submits code and configuration with high levels of quality, performance, security, scalability and extensibility. assists in the creation and evaluation of business requirements and project plans. other requirements include: * takes pride in delivering work on time and with quality good problem solving and decision making abilities ability to learn quickly in a fast-paced environment ability to both work independently and with teams effectively juggles a continuous mix of support and project work able to work off hours / provide on-call support when needed the ideal candidate must be a self-starter, able to work independently, and have experience in the skillsets mentioned above. this position requires a highly responsible and organized individual with a good work ethic and a minimum of two years of experience using the tools and technologies noted above. compensation is commensurate with experience. industries* - manufacturing-other education* - bachelor's degree in computer science, information systems, or related field, or combination of education and equivalent work experience. job type: contract experience: software development: 2 years (required) work location: one location work remotely: no"
Full Stack Developer,senior full stack developer \- 1800026h cwt looking senior full stack developer proven back-end skill well strong front-end skill role use cutting-edge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop back-end system designed scale analyze business software requirement develop back-end software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification b.sc degree computer science engineering relevant field equivalent industry experience minimum 2 year experience developing following nodejs java experience nosql solution mongodb elasticsearch redis experience react/angular knowledge single-page application spa development advantage experience javascript cs html responsive ui & cross browser advantage experienced developing rich large-scale web application advantage experience developing robust http apis back-end service passion technology building product team player excellent interpersonal skill self-motivated independent learner eligible candidate must valid passport able travel israel 6 week training shortly hired primary location us-il-chicago work home employment type standard job family information technology scope global travel yes 15 time shift day job organization p & t_hotel product experience level 3 5 year job posting may 9 2018 equal opportunity employer/affirmative action employer organization discriminate employment practice due applicant race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protected class
JavaScript Developer,"job description: reactjs + nodejs, azure functions, and graphql capability strong hands on experience on javascript frameworks like reactjs having hands on experience on nodejs hands on experience on azure function and integrations strong hands on experience on html5/css3/javascript excellent written and verbal communication. knowledge of rest as well as graphql experience range: 3 - 8 years educational qualifications: any graduation, and any pg and any doctorate job responsibilities: implementing visual components & building rich ui for complex internal and external systems. taking ownership of modules, and building the foundation of new systems which are inline with improved quality, process & productivity have a passion for quality and writing clean, solid, readable code that scales and performs well. skills required : reactjs, nodejs, azure functions, graphql, job code : #kl-dp3pzb64"
DevOps Engineer,"main responsibilities and deliverables: manage/support the rollout, scalability and execution of the automation as it is consumed by the various teams ensure automation services scales to handle rapid growth using the automations, establish the ability to measure and optimize system health and performance. on an ongoing basis; configure, tune and troubleshoot automations to achieve optimal application performance and stability strong scripting experience with; bash, ruby, python, java. solid experience working with commercial grade automated deployment & configuration mgmt. tools such as; puppet, chef, cloudify, cfengine. (puppet skills strongly coveted.) strong hands-on experience with open source and provisioning tools such as; cobbler, foreman, php, and linux or other likewise open source systems, tools /utilities. strong senior level linux & windows os experience & troubleshooting skills experience with application debugging, performance, scalability & capacity planning expertise manage full system lifecycle of automations including configuration and code deployment in user acceptance test and production environments improve automated product performance health checks and self-healing capabilities in complex highly available cloud environments. participates and assists to drive the automation tools roadmap to increase availability, performance and reduce support demands. drive the adoption of infrastructure as code in a devops oriented organization partner with r&d teams to engineer resilient, supportable and scalable products architect solutions to leverage the best of cloud infrastructure experience with tools and software such as urban code, hadoop, tomcat, mule, openam and apache experience with f5 load balancers, networking theory and protocols (tcp/ip, http, ntp, dns) and hardware components."
Software Engineer,"overview based in silicon valley, tintri is a wholly owned subsidiary of datadirect networks (ddn.com), the data-at-scale powerhouse and worlds largest privately held storage company. tintri solutions serve the needs of enterprise data centres with intelligent infrastructure. our product portfolio includes advanced technologies from tintri (acquired september 2018), nexenta (acquired may 2019), and intelliflash (acquired from western digital november 2019). this portfolio offers a fresh choice and a new experience to elevate your user experiences through automation, analytic insight, and tight integration with application workflows for your enterprise applications, including mission-critical databases and business applications, virtualization, and flexible software defined solutions. learn more about the tintri portfolio of solutions at https://www.tintri.com/products tintri is looking for motivated and passionate individuals that are self-motivated in their work and careers but we are valuing and thriving in an environment where collaboration and teamwork are at best. we are all together on a quest to provide game changing storage solutions. job description job location: pune red senior software engineer rest api dev job description responsibilities: we are looking for a senior software engineer for our red tintri storage engineering team who will design, build and deliver the configuration and deployment tools of ddn red software storage product: participate in the definition and implementation of the red rest api allowing to configure, deploy and manage the red solution on premises and on cloud. participate in the system tools definition and implementation providing interaction with the storage deployments to perform analytics and provide value-added services to customers and users. development competencies: knowledge of rest api strong experience in developing and debugging c/c++ for linux/unix experience in developing with python, go experiences with git, gerrit and jenkins very good written/verbal communication skills in english the ideal candidate has knowledge of and experience in several of the following subjects: knowledge of configuration and deployment large systems on cloud or on premise knowledge of deployment on vms and containers knowledge of development or utilization of control or data plane api for systems' management skills and experience: minimum 7 years of software development experience excellent written/verbal communication skills excellent time management skills, with the ability to independently prioritize, multitask, and work under deadlines in a fast paced environment strong interpersonal skills and ability to interact effectively with program staff strong team player highly effective analytical, problem solving, decision making and influencing capabilities storage industry experience desired. minimum of bs or ms; computer engineering, computer science or related technical field."
